# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.177       52.101       2.00  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TX
# 
  260,20150621,  185
  260,20150622,  153
  260,20150623,  151
  260,20150624,  215
  260,20150625,  240
  260,20150626,  250
  260,20150627,  218
  260,20150628,  232
  260,20150629,  242
  260,20150630,  273
  260,20150701,  331
  260,20150702,  331
  260,20150703,  291
  260,20150704,  327
  260,20150705,  282
  260,20150706,  238
  260,20150707,  258
  260,20150708,  196
  260,20150709,  176
  260,20150710,  226
  260,20150711,  287
  260,20150712,  204
  260,20150713,  196
  260,20150714,  213
  260,20150715,  211
  260,20150716,  251
  260,20150717,  256
  260,20150718,  221
  260,20150719,  205
  260,20150720,  214
  260,20150721,  254
  260,20150722,  231
  260,20150723,  217
  260,20150724,  233
  260,20150725,  183
  260,20150726,  209
  260,20150727,  197
  260,20150728,  189
  260,20150729,  176
  260,20150730,  181
  260,20150731,  194
  260,20150801,  220
  260,20150802,  242
  260,20150803,  300
  260,20150804,  215
  260,20150805,  250
  260,20150806,  284
  260,20150807,  270
  260,20150808,  230
  260,20150809,  243
  260,20150810,  252
  260,20150811,  254
  260,20150812,  230
  260,20150813,  284
  260,20150814,  254
  260,20150815,  221
  260,20150816,  166
  260,20150817,  152
  260,20150818,  168
  260,20150819,  225
  260,20150820,  249
  260,20150821,  253
  260,20150822,  265
  260,20150823,  259
  260,20150824,  231
  260,20150825,  199
  260,20150826,  252
  260,20150827,  185
  260,20150828,  209
  260,20150829,  236
  260,20150830,  253
  260,20150831,  265
  260,20150901,  195
  260,20150902,  188
  260,20150903,  171
  260,20150904,  166
  260,20150905,  169
  260,20150906,  170
  260,20150907,  169
  260,20150908,  169
  260,20150909,  185
  260,20150910,  196
  260,20150911,  201
  260,20150912,  202
  260,20150913,  194
  260,20150914,  198
  260,20150915,  159
  260,20150916,  192
  260,20150917,  164
  260,20150918,  184
  260,20150919,  175
  260,20150920,  181
  260,20150921,  186
  260,20150922,  174
  260,20150923,  173
  260,20150924,  157
  260,20150925,  168
  260,20150926,  168
  260,20150927,  175
  260,20150928,  160
  260,20150929,  174
  260,20150930,  175
  260,20151001,  169
